|created_time|id|link|message|message_tags|name|permalink_url|place|shares|story|story_tags|type|updated_time|from_name|from_id
0|2019-07-22T06:10:31+0000|284090485004386_2300036306743117|https://www.facebook.com/LebaneseRedCross/photos/a.348946945185406/2300032410076840/?type=3|"If you’re in the area this week, pass by to do some good: donate blood & save lives!

#LebaneseRedCross #SupportLRC #TogetherForHumanity
#دايما_حدك #الصليب_الأحمر_اللبناني"|[]||https://www.facebook.com/284090485004386/posts/2300036306743117/||22.0|||photo|2019-07-22T08:24:21+0000|Lebanese Red Cross|284090485004386
1|2016-07-15T16:41:51+0000|284090485004386_1060451047368322|https://www.facebook.com/LebaneseRedCross/photos/a.348946945185406/1060451047368322/?type=3|||Timeline Photos|https://www.facebook.com/284090485004386/posts/1060451047368322/?substory_index=0||26.0|||photo|2016-10-04T12:38:34+0000|Lebanese Red Cross|284090485004386
2|2015-01-07T09:10:37+0000|284090485004386_781562888590474|https://www.facebook.com/LebaneseRedCross/photos/a.553690611377704/781562871923809/?type=3|"تحية من فرق الاسعاف الاولي في #الصليب_الأحمر_اللبناني! 
لطلب المساعدة تواصلوا معنا على رقم ١٤٠."|[]|Mobile Uploads|https://www.facebook.com/284090485004386/posts/781562888590474/?substory_index=0||217.0|||photo|2015-02-04T08:34:01+0000|Lebanese Red Cross|284090485004386
3|2014-08-03T15:24:28+0000|284090485004386_697766956970068||مدير #فرق_الإسعاف_والطوارئ للميادين : تم استنفار المراكز في جبل لبنان وبيروت لنقل المصابين من مستشفيات البقاع إلى مستشفيات #بيروت #لبنان|[]||https://www.facebook.com/284090485004386/posts/697766956970068/||18.0|||status|2014-08-08T11:11:52+0000|Lebanese Red Cross|284090485004386
4|2014-05-06T02:15:12+0000|284090485004386_653526284727469|https://www.facebook.com/kesserwen.org/photos/a.332962636716884/825604967452646/?type=3|||Kesserwen.org|https://www.facebook.com/284090485004386/posts/653526284727469/|||Lebanese Red Cross shared a photo.|[{'id': '284090485004386', 'name': 'Lebanese Red Cross', 'type': 'page', 'offset': 0, 'length': 18}, {'id': '825604967452646', 'name': '', 'offset': 28, 'length': 5}]|photo|2014-05-07T19:54:58+0000|Lebanese Red Cross|284090485004386
5|2014-03-05T11:07:55+0000|284090485004386_10152289640450883|https://twitter.com/Red140Cross|please support and follow our official page on twitter: https://twitter.com/Red140Cross |[]|Lebanese Red Cross (Red140Cross) on Twitter|https://www.facebook.com/284090485004386/posts/10152289640450883/|||||link|2014-03-05T11:07:55+0000|Lebanese Red Cross|284090485004386
6|2013-12-26T09:26:20+0000|284090485004386_592085647538200|https://www.facebook.com/LebaneseRedCross/photos/a.348946945185406/592085377538227/?type=3|تسليم سيارة #اسعاف من برنامج #الأمم #المتحدة الإنمائي #UNDP - #سبيرز - 26 كانون الأول 2013|[]|Timeline Photos|https://www.facebook.com/284090485004386/posts/592085647538200/?substory_index=0|{'name': 'RC HQ Spears', 'location': {'city': 'Beirut', 'country': 'Lebanon', 'latitude': 33.894997104018, 'longitude': 35.495004102039}, 'id': '456347851058351'}|12.0|Lebanese Red Cross is at RC HQ Spears.|[{'id': '284090485004386', 'name': 'Lebanese Red Cross', 'type': 'page', 'offset': 0, 'length': 18}, {'id': '456347851058351', 'name': 'RC HQ Spears', 'type': 'page', 'offset': 25, 'length': 12}]|photo|2014-01-11T15:47:35+0000|Lebanese Red Cross|284090485004386
7|2013-08-23T20:30:57+0000|284090485004386_532264223520343|https://www.facebook.com/LebaneseRedCross/photos/a.348946945185406/532264180187014/?type=3|peace festival- candles march||Timeline Photos|https://www.facebook.com/284090485004386/posts/532264223520343/?substory_index=0|{'name': 'Martyr Square Beirut Downtown', 'location': {'latitude': 33.896790435202, 'longitude': 35.506564155217}, 'id': '433779933345435'}|3.0|Lebanese Red Cross is in Martyr Square Beirut Downtown.|[{'id': '284090485004386', 'name': 'Lebanese Red Cross', 'type': 'page', 'offset': 0, 'length': 18}, {'id': '433779933345435', 'name': 'Martyr Square Beirut Downtown', 'type': 'page', 'offset': 25, 'length': 29}]|photo|2013-08-23T23:43:09+0000|Lebanese Red Cross|284090485004386
8|2019-07-22T06:10:31+0000|284090485004386_2300036306743117|https://www.facebook.com/LebaneseRedCross/photos/a.348946945185406/2300032410076840/?type=3|"If you’re in the area this week, pass by to do some good: donate blood & save lives!

#LebaneseRedCross #SupportLRC #TogetherForHumanity
#دايما_حدك #الصليب_الأحمر_اللبناني"|[]||https://www.facebook.com/284090485004386/posts/2300036306743117/||22.0|||photo|2019-07-22T08:24:21+0000|Lebanese Red Cross|284090485004386
9|2016-07-15T16:41:51+0000|284090485004386_1060451047368322|https://www.facebook.com/LebaneseRedCross/photos/a.348946945185406/1060451047368322/?type=3|||Timeline Photos|https://www.facebook.com/284090485004386/posts/1060451047368322/?substory_index=0||26.0|||photo|2016-10-04T12:38:34+0000|Lebanese Red Cross|284090485004386
